2019-03-22,638,21557000.00
2019-03-21,1132,45779000.00
2019-03-20,825,20473000.00
2019-03-19,1001,25995000.00
2019-03-18,378,9496000.00
2019-03-17,469,11071000.00
2019-03-16,620,15692000.00
2019-03-15,381,10718000.00
2019-03-14,493,10608000.00
2019-03-13,434,11528000.00
2019-03-12,393,9706000.00
2019-03-11,410,11696000.00
2019-03-10,346,9650000.00
2019-03-09,348,8852000.00
2019-03-08,454,12039000.00
2019-03-07,514,15837000.00
2019-03-06,600,16418000.00
2019-03-05,599,17704000.00
2019-03-04,743,17908000.00
2019-03-03,540,14531000.00
2019-03-02,703,23322000.00
2019-03-01,675,28256000.00
2019-02-28,582,26651000.00
2019-02-27,459,10647000.00
2019-02-26,542,13076000.00
2019-02-25,581,16907000.00
2019-02-24,710,19514000.00
2019-02-23,736,17515000.00
2019-02-22,893,24678000.00
2019-02-21,1097,28878000.00
2019-02-20,1518,46463000.00
2019-02-19,501,12824000.00
2019-02-18,726,20229000.00
2019-02-17,397,11363000.00
2019-02-16,971,24949000.00
2019-02-15,27,389000.00
2019-02-14,289,6601000.00
2019-02-13,336,7549000.00
2019-02-12,229,5400000.00
2019-02-11,252,5740000.00
2019-02-10,170,4488000.00
2019-02-09,184,5129000.00
2019-02-08,316,10407000.00
2019-02-07,671,20644000.00
2019-02-06,1074,31330000.00
2019-02-05,0,0
2019-02-04,584,15768000.00
2019-02-03,448,12060000.00
2019-02-02,484,14107000.00
2019-02-01,813,41832000.00
2019-01-31,456,24029000.00
2019-01-30,915,21600000.00
2019-01-29,763,25760000.00
2019-01-28,583,10780000.00
2019-01-27,486,12236000.00
2019-01-26,447,8472000.00
2019-01-25,537,9124000.00
2019-01-24,553,7674000.00
2019-01-23,435,5006000.00
2019-01-22,391,4332000.00
2019-01-21,621,15349000.00
2019-01-20,506,13984000.00
2019-01-19,577,11747000.00
2019-01-18,675,15348000.00
2019-01-17,506,15343000.00
2019-01-16,720,21089000.00
2019-01-15,244,1611000.00
2019-01-14,502,10201000.00
2019-01-13,328,7755000.00
2019-01-12,350,7633000.00
2019-01-11,601,14500000.00
2019-01-10,444,11343000.00
2019-01-09,396,11076000.00
2019-01-08,272,5801000.00
2019-01-07,270,5654000.00
2019-01-06,345,7217000.00
2019-01-05,281,5887000.00
2019-01-04,265,6174000.00
2019-01-03,377,9514000.00
2019-01-02,343,7707000.00
2019-01-01,344,7570000.00
2018-12-31,447,10805000.00
2018-12-30,572,12610000.00
2018-12-29,356,8522000.00
2018-12-28,426,10027000.00
2018-12-27,452,12743000.00
2018-12-26,363,10609000.00
2018-12-25,317,10224000.00
2018-12-24,237,6708000.00
2018-12-23,304,7969000.00
2018-12-22,388,10923000.00
2018-12-21,1126,38278000.00
2018-12-20,1311,37431000.00
2018-12-19,1468,38137000.00
2018-12-18,631,12709000.00
2018-12-17,492,8505000.00
2018-12-16,341,6749000.00
2018-12-15,551,9688000.00
2018-12-14,704,12624000.00
2018-12-13,690,13835000.00
2018-12-12,697,16274000.00
2018-12-11,598,13958000.00
2018-12-10,525,15203000.00
2018-12-09,333,10524000.00
2018-12-08,408,12235000.00
2018-12-07,406,10681000.00
2018-12-06,458,14997000.00
2018-12-05,540,15103000.00
2018-12-04,653,18812000.00
2018-12-03,523,16066000.00
2018-12-02,387,13119000.00
2018-12-01,461,12190000.00
2018-11-30,596,14710000.00
2018-11-29,728,19874000.00
2018-11-28,545,16432000.00
2018-11-27,545,14647000.00
2018-11-26,389,12382000.00
2018-11-25,418,10644000.00
2018-11-24,397,8238000.00
2018-11-23,478,12917000.00
2018-11-22,526,13162000.00
2018-11-21,484,22609000.00
2018-11-20,527,13663000.00
2018-11-19,591,14050000.00
2018-11-18,440,12389000.00
2018-11-17,426,10937000.00
2018-11-16,1637,39739000.00
2018-11-15,28,394000.00
2018-11-14,935,21057000.00
2018-11-13,1283,33049000.00
2018-11-12,538,12472000.00
2018-11-11,445,19498000.00
2018-11-10,460,11788000.00
2018-11-09,695,17399000.00
2018-11-08,849,25817000.00
2018-11-07,489,11913000.00
2018-11-06,617,17266000.00
2018-11-05,465,12219000.00
2018-11-04,408,12553000.00
2018-11-03,362,8106000.00
2018-11-02,534,14526000.00
2018-11-01,609,23690000.00
2018-10-31,532,17570000.00
2018-10-30,394,9427000.00
2018-10-29,389,12565000.00
2018-10-28,277,7734000.00
2018-10-27,397,10996000.00
2018-10-26,555,14291000.00
2018-10-25,388,8130000.00
2018-10-24,401,9135000.00
2018-10-23,287,7501000.00
2018-10-22,482,13723000.00
2018-10-21,402,10373000.00
2018-10-20,415,9254000.00
2018-10-19,410,9754000.00
2018-10-18,414,9698000.00
2018-10-17,409,10461000.00
2018-10-16,843,22078000.00
2018-10-15,128,389000.00
2018-10-14,481,11240000.00
2018-10-13,529,7291000.00
2018-10-12,1076,18595000.00
2018-10-11,983,19997000.00
2018-10-10,326,9507000.00
2018-10-09,211,5154000.00
2018-10-08,147,3748000.00
2018-10-07,110,2176000.00
2018-10-06,127,2777000.00
2018-10-05,434,12644000.00
2018-10-04,372,10696000.00
2018-10-03,298,8170000.00
2018-10-02,358,8959000.00
2018-10-01,401,7869000.00
2018-09-30,313,6492000.00
2018-09-29,398,7812000.00
2018-09-28,458,8283000.00
2018-09-27,426,9566000.00
2018-09-26,380,8303000.00
2018-09-25,409,8834000.00
2018-09-24,444,9639000.00
2018-09-23,349,6865000.00
2018-09-22,384,9229000.00
2018-09-21,759,17849000.00
2018-09-20,837,19367000.00
2018-09-19,429,7462000.00
2018-09-18,417,6852000.00
2018-09-17,325,4724000.00
2018-09-16,458,7247000.00
2018-09-15,521,6607000.00
2018-09-14,1013,13675000.00
2018-09-13,799,10312000.00
2018-09-12,316,5534000.00
2018-09-11,115,2618000.00
2018-09-10,166,6232000.00
2018-09-09,108,2070000.00
2018-09-08,97,2067000.00
2018-09-07,128,3029000.00
2018-09-06,151,7126000.00
2018-09-05,213,7361000.00
2018-09-04,302,13237000.00
2018-09-03,208,9730000.00
2018-09-02,215,8953000.00
2018-09-01,225,6305000.00
2018-08-31,427,9600000.00
2018-08-30,363,7489000.00
2018-08-29,382,7164000.00
2018-08-28,171,4668000.00
2018-08-27,170,4332000.00
2018-08-26,166,5493000.00
2018-08-25,222,6630000.00
2018-08-24,252,8338000.00
2018-08-23,241,7619000.00
2018-08-22,220,11389000.00
2018-08-21,305,10410000.00
2018-08-20,213,7807000.00
2018-08-19,264,9207000.00
2018-08-18,483,15395000.00
2018-08-17,524,13631000.00
2018-08-16,942,19671000.00
2018-08-15,289,5038000.00
2018-08-14,772,11773000.00
2018-08-13,605,13920000.00
2018-08-12,224,6729000.00
2018-08-11,307,3533000.00
2018-08-10,869,11187000.00
2018-08-09,264,3609000.00
2018-08-08,329,10163000.00
2018-08-07,363,9561000.00
2018-08-06,443,11451000.00
2018-08-05,244,6749000.00
2018-08-04,360,8864000.00
2018-08-03,876,22842000.00
2018-08-02,301,12292000.00
2018-08-01,268,7424000.00
2018-07-31,271,6875000.00
2018-07-30,209,4385000.00
2018-07-29,273,6663000.00
2018-07-28,792,18729000.00
2018-07-27,208,6917000.00
2018-07-26,400,9876000.00
2018-07-25,214,6309000.00
2018-07-24,268,8335000.00
2018-07-23,201,4472000.00
2018-07-22,132,2647000.00
2018-07-21,174,3542000.00
2018-07-20,301,7420000.00

